\U0001F600 happy grinning 
\U0001F601 beaming smile 
\U0001F602 funny laughing
\U0001F605 sweat sweating 
\U0001F606 squint squinting 
\U0001F609 wink winking 
\U0001F60A blushing blush 
\U0001F60B yum savor 
\U0001F60E cool sunglasses 
\U0001F618 kiss kisses 
\U0001F917 hugging hug 
\U0001F929 wow amazed 
\U0001F914 think thinking 
\U0001F610 neutral neutral
\U0001F611 expressionless bland
\U0001F60F smirk smirking
\U0001F623 persevering persever
\U0001F910 secret secretive
\U0001F62F hushed hush
\U0001F62A sleepy sleepless
\U0001F62B tired tiring
\U0001F634 sleep sleeping
\U0001F60C relieved relieving
\U0001F924 drool drooling
\U0001F612 unamused unamusing
\U0001F613 downcast downcasting
\U0001F614 pensive pensing
\U0001F615 confused confusing
\U0001F643 upside-down fliped
\U0001F641 slight slightly
\U0001F616 confounded confound 
\U0001F61E disappointed disappoint 
\U0001F61F worry worried
\U0001F622 tear tearing
\U0001F62D cry crying
\U0001F627 anguish anguished
\U0001F628 fear fearful
\U0001F629 weary wearier
\U0001F92F exploding explode 
\U0001F62C grimacing grimace
\U0001F630 anxious anxiously
\U0001F631 scream screaming
\U0001F975 hot warm
\U0001F976 cold chilly
\U0001F633 flushed flush 
\U0001F92A zany silly
\U0001F635 dizzy dead
\U0001F621 pout pouting
\U0001F620 angry mad
\U0001F92C cursing curse
\U0001F637 mask medical
\U0001F912 fever thermometer
\U0001F915 bandage hurt
\U0001F922 nausea nauseated
\U0001F92E vomit barf
\U0001F927 sneezing sneeze
\U0001F607 halo angel 
\U0001F920 cowboy cowgirl
\U0001F973 party partying
\U0001F974 woozy hazy
\U0001F97A plead pleading
\U0001F925 lie lying
\U0001F92B shush shushing
\U0001F913 nerd geek 
\U0001F608 devil devilish
\U0001F921 clown circus
\U0001F479 ogre monster
\U0001F47A goblin ugly
\U0001F480 skull bone
\U0001F47B ghost invisible
\U0001F47D alien UFO
\U0001F916 robot robotics
\U0001F4A9 poop crap
\U0001F648 see-no-evil see-no-evil
\U0001F649 hear-no-evil hear-no-evil
\U0001F64A speak-no-evil speak-no-evil
\U0001F476 baby infant 
\U0001F9D2 child children
\U0001F466 boy son 
\U0001F467 girl daughter
\U0001F9D1 adult mature
\U0001F468 man male
\U0001F469 woman female 
\U0001F9D3 old elder
\U0001F474 grandfather pop
